iter	Passed	Remaining
0	153	153633
1	159	79749
2	165	54983
3	170	42539
4	175	34997
5	181	30021
6	186	26401
7	191	23711
8	195	21576
9	200	19849
10	203	18335
11	208	17156
12	215	16365
13	219	15426
14	223	14645
15	226	13932
16	230	13312
17	234	12781
18	238	12303
19	241	11855
20	245	11467
21	249	11089
22	254	10804
23	258	10518
24	265	10352
25	268	10072
26	272	9827
27	276	9607
28	280	9406
29	284	9205
30	288	9027
31	293	8864
32	296	8694
33	300	8542
34	304	8402
35	307	8246
36	311	8107
37	314	7964
38	319	7883
39	323	7759
40	326	7646
41	330	7533
42	334	7435
43	337	7340
44	341	7245
45	345	7158
46	349	7079
47	352	6995
48	356	6910
49	360	6840
50	363	6758
51	367	6690
52	370	6618
53	373	6535
54	376	6468
55	380	6416
56	383	6350
57	387	6291
58	391	6236
59	395	6194
60	399	6153
61	404	6126
62	410	6109
63	414	6064
64	418	6014
65	421	5967
66	425	5926
67	429	5882
68	432	5835
69	435	5786
70	439	5744
71	442	5702
72	445	5656
73	449	5618
74	452	5581
75	456	5545
76	459	5513
77	463	5476
78	467	5444
79	470	5410
80	474	5378
81	477	5349
82	481	5319
83	485	5289
84	488	5260
85	492	5231
86	495	5203
87	499	5180
88	503	5154
89	507	5131
90	511	5105
91	514	5081
92	518	5054
93	521	5025
94	524	4998
95	528	4973
96	531	4950
97	537	4942
98	541	4927
99	546	4915
100	550	4899
101	554	4884
102	558	4863
103	563	4852
104	567	4835
105	571	4818
106	575	4801
107	578	4781
108	581	4756
109	585	4737
110	588	4715
111	592	4700
112	596	4686
113	600	4667
114	604	4653
115	611	4658
116	618	4665
117	621	4646
118	625	4628
119	629	4615
120	633	4599
121	637	4587
122	644	4597
123	648	4580
124	652	4564
125	655	4546
126	659	4530
127	662	4512
128	665	4495
129	669	4478
130	673	4465
131	676	4448
132	679	4431
133	683	4414
134	686	4397
135	689	4381
136	693	4370
137	698	4361
138	702	4351
139	709	4359
140	713	4345
141	716	4330
142	720	4317
143	723	4302
144	728	4298
145	734	4293
146	741	4300
147	745	4293
148	752	4300
149	758	4295
150	762	4285
151	768	4289
152	774	4289
153	779	4283
154	790	4308
155	796	4309
156	805	4327
157	810	4318
158	814	4309
159	820	4306
160	830	4328
161	838	4335
162	844	4337
163	854	4356
164	861	4359
165	869	4370
166	875	4364
167	879	4356
168	887	4366
169	892	4359
170	898	4354
171	903	4349
172	908	4341
173	917	4356
174	922	4348
175	928	4348
176	934	4346
177	940	4341
178	949	4354
179	953	4344
180	961	4351
181	967	4346
182	972	4340
183	981	4351
184	986	4347
185	995	4354
186	999	4345
187	1003	4336
188	1011	4339
189	1019	4345
190	1026	4348
191	1033	4350
192	1038	4340
193	1048	4355
194	1052	4345
195	1063	4360
196	1067	4350
197	1074	4350
198	1080	4347
199	1084	4337
200	1089	4329
201	1093	4319
202	1097	4307
203	1101	4299
204	1106	4291
205	1113	4292
206	1118	4283
207	1122	4272
208	1125	4261
209	1129	4249
210	1134	4241
211	1138	4232
212	1143	4224
213	1148	4217
214	1152	4206
215	1155	4195
216	1159	4184
217	1163	4174
218	1167	4164
219	1171	4152
220	1174	4140
221	1178	4130
222	1182	4121
223	1187	4113
224	1191	4103
225	1195	4095
226	1201	4091
227	1204	4079
228	1208	4069
229	1212	4060
230	1216	4049
231	1220	4040
232	1224	4029
233	1227	4018
234	1230	4007
235	1234	3995
236	1237	3983
237	1240	3971
238	1244	3961
239	1248	3952
240	1251	3941
241	1254	3930
242	1258	3919
243	1261	3907
244	1264	3896
245	1267	3886
246	1271	3877
247	1276	3869
248	1281	3863
249	1284	3854
250	1288	3845
251	1291	3834
252	1295	3823
253	1298	3813
254	1301	3802
255	1304	3792
256	1308	3781
257	1311	3771
258	1314	3761
259	1317	3751
260	1321	3741
261	1324	3730
262	1327	3720
263	1331	3710
264	1334	3701
265	1338	3693
266	1342	3685
267	1346	3677
268	1349	3668
269	1353	3659
270	1357	3651
271	1360	3642
272	1365	3635
273	1369	3629
274	1374	3624
275	1381	3623
276	1389	3626
277	1399	3634
278	1405	3631
279	1411	3630
280	1418	3630
281	1425	3628
282	1432	3628
283	1439	3628
284	1445	3626
285	1450	3620
286	1455	3615
287	1460	3610
288	1465	3605
289	1470	3599
290	1475	3594
291	1481	3592
292	1486	3587
293	1491	3580
294	1496	3576
295	1501	3572
296	1506	3566
297	1512	3563
298	1518	3560
299	1524	3557
300	1530	3554
301	1536	3550
302	1541	3546
303	1548	3544
